tp,sl,max_hold,w1_sharpe,w1_n,w1_wr,w1_avg,w2_sharpe,w2_n,w2_wr,w2_avg,passed
0.08,0.015,24,5.616734112577639,2108,0.4127134724857685,0.013664759095532301,4.877106147521699,4003,0.35898076442668,0.012546393326774508,False
0.08,0.015,36,5.280676925434025,2078,0.3753609239653513,0.0136964985056609,4.918814779172395,3991,0.33775995990979707,0.013119358481531056,False
0.08,0.02,24,5.725729671227703,2059,0.462360369111219,0.014897745736011308,4.581407134773289,3868,0.3999482936918304,0.012583133595892854,False
0.08,0.02,36,5.41503228895179,2022,0.4317507418397626,0.015127791840741917,4.685391957605166,3850,0.38,0.01341859118771924,False
0.08,0.03,24,5.647958432119738,1980,0.5217171717171717,0.016061553025078536,4.220815999884064,3691,0.4638309401246275,0.012856731154829307,False
0.08,0.03,36,5.219950057604482,1930,0.5005181347150259,0.016144265777973028,4.256885844780391,3657,0.44353295050587915,0.01360229934362902,False
0.08,0.04,24,5.093263402676352,1944,0.5442386831275721,0.015369387315682432,3.8687336621669255,3596,0.503615127919911,0.01267829789830734,False
0.08,0.04,36,4.615208106398204,1889,0.5341450502911593,0.015313198736234412,3.8306702452555355,3555,0.4841068917018284,0.013264498117530478,False
0.1,0.015,24,5.659010276115252,2102,0.4105613701236917,0.015020966014947618,4.933430016243991,3970,0.34710327455919393,0.014383450091311539,False
0.1,0.015,36,5.18077260602565,2067,0.36284470246734396,0.015029816905458808,4.948620053099821,3955,0.3198482932996207,0.015109070289562185,False
0.1,0.02,24,5.781977512791798,2052,0.459551656920078,0.01637941162113304,4.637105114153315,3831,0.38658313756199425,0.014314876019741806,False
0.1,0.02,36,5.346167545161682,2011,0.4172053704624565,0.016712319352232444,4.686569113727187,3809,0.3586243108427409,0.015228193835914911,False
0.1,0.03,24,5.709226751317418,1972,0.5182555780933062,0.017574726369859933,4.273433111141193,3650,0.44794520547945205,0.014478720609019839,False
0.1,0.03,36,5.236068590033284,1917,0.4846113719353156,0.018041033364444493,4.18081422996219,3610,0.4166204986149584,0.014977123546595783,False
0.1,0.04,24,5.236768386343239,1936,0.5413223140495868,0.017016125324925597,3.9441244814211154,3548,0.48703494926719276,0.014270801328934211,False
0.1,0.04,36,4.729147071411457,1876,0.5181236673773987,0.017353858818845838,3.749343353049287,3500,0.4554285714285714,0.014432142454092078,False
0.12,0.015,24,5.6099940657487135,2100,0.4076190476190476,0.01587302570289639,4.971985379953078,3954,0.34142640364188165,0.015948618473913514,False
0.12,0.015,36,5.0852643141347444,2062,0.35548011639185256,0.01605661676513676,4.881801842807841,3937,0.31038862077724155,0.01642161636936011,False
0.12,0.02,24,5.729378858540295,2050,0.4560975609756098,0.017241143901674038,4.71123289058056,3814,0.3807026743576298,0.015919630537963386,False
0.12,0.02,36,5.259711537226743,2006,0.40927218344965105,0.01783319310443793,4.65117826013635,3789,0.3489047242016363,0.016570810123631798,False
