sym,in_wallet,total_sig,W1_sh,W1_n,W2_sh,W2_n,W2_wr,pass
KRW-JST,False,4,,1,118.41456103043939,3,1.0,False
KRW-TT,False,5,,0,65.99257657428952,4,1.0,False
KRW-BTT,False,8,,1,27.6872533849062,6,0.8333333333333334,False
KRW-META,False,8,,1,27.6872533849062,6,0.8333333333333334,False
KRW-AAVE,False,10,,2,24.473199627347462,5,0.8,False
KRW-EGLD,False,8,,0,24.473199627347462,5,0.8,False
KRW-MTL,False,9,,2,24.47319962734746,5,0.8,False
KRW-ORBS,False,8,,0,21.037223294305615,5,0.8,False
KRW-AERGO,False,8,,1,20.774343150466475,4,0.75,False
KRW-ARDR,False,5,,0,20.774343150466475,4,0.75,False
KRW-ATOM,True,7,,0,20.774343150466475,4,0.75,False
KRW-BCH,False,6,,0,20.774343150466475,4,0.75,False
KRW-CHZ,False,12,10.053854982045443,6,20.774343150466475,4,0.75,False
KRW-CKB,False,6,,0,20.774343150466475,4,0.75,False
KRW-GAS,False,6,,1,20.774343150466475,4,0.75,False
KRW-ID,False,6,,0,20.774343150466475,4,0.75,False
KRW-MBL,False,6,,0,20.774343150466475,4,0.75,False
KRW-POLYX,False,12,16.276209632466646,3,20.774343150466475,4,0.75,False
KRW-SAND,False,9,,2,20.774343150466475,4,0.75,False
KRW-STRAX,False,5,,0,20.774343150466475,4,0.75,False
KRW-W,False,4,,0,20.774343150466475,4,0.75,False
KRW-ANKR,False,5,,1,16.276209632466646,3,0.6666666666666666,False
KRW-ASTR,False,9,,0,16.276209632466646,6,0.6666666666666666,False
KRW-AWE,False,3,,0,16.276209632466646,3,0.6666666666666666,False
KRW-BIGTIME,False,3,,0,16.276209632466646,3,0.6666666666666666,False
KRW-BOUNTY,False,5,,1,16.276209632466646,3,0.6666666666666666,False
KRW-CELO,False,13,5.051237472144821,3,16.276209632466646,6,0.6666666666666666,False
KRW-CRO,False,7,,1,16.276209632466646,3,0.6666666666666666,False
KRW-CTC,False,5,,0,16.276209632466646,3,0.6666666666666666,False
KRW-DKA,False,5,,1,16.276209632466646,3,0.6666666666666666,False
KRW-ELF,False,4,,0,16.276209632466646,3,0.6666666666666666,False
KRW-ETC,False,6,,0,16.276209632466646,3,0.6666666666666666,False
KRW-FCT2,False,3,,0,16.276209632466646,3,0.6666666666666666,False
KRW-GAME2,False,4,,0,16.276209632466646,3,0.6666666666666666,False
KRW-ICX,False,7,,2,16.276209632466646,3,0.6666666666666666,False
KRW-INJ,False,4,,0,16.276209632466646,3,0.6666666666666666,False
KRW-IOST,False,7,,0,16.276209632466646,6,0.6666666666666666,False
KRW-IQ,False,5,,0,16.276209632466646,3,0.6666666666666666,False
KRW-KAVA,False,4,,0,16.276209632466646,3,0.6666666666666666,False
KRW-KITE,False,3,,0,16.276209632466646,3,0.6666666666666666,False
KRW-KNC,False,6,,2,16.276209632466646,3,0.6666666666666666,False
KRW-LINK,True,6,,0,16.276209632466646,3,0.6666666666666666,False
KRW-MANTRA,False,3,,0,16.276209632466646,3,0.6666666666666666,False
KRW-MVL,False,5,,1,16.276209632466646,3,0.6666666666666666,False
KRW-NEO,False,10,,1,16.276209632466646,6,0.6666666666666666,False
KRW-PEPE,False,6,,0,16.276209632466646,6,0.6666666666666666,False
KRW-SAHARA,False,3,,0,16.276209632466646,3,0.6666666666666666,False
KRW-SNT,False,3,,0,16.276209632466646,3,0.6666666666666666,False
KRW-STORJ,False,11,,1,16.276209632466646,6,0.6666666666666666,False
KRW-TFUEL,False,6,,1,16.276209632466646,3,0.6666666666666666,False
KRW-THETA,False,7,,0,16.276209632466646,6,0.6666666666666666,False
KRW-XRP,True,5,,0,16.276209632466646,3,0.6666666666666666,False
KRW-ZETA,False,8,,0,16.276209632466646,6,0.6666666666666666,False
KRW-MLK,False,4,,0,15.350198646587,3,0.6666666666666666,False
KRW-DRIFT,False,5,,0,14.595980486143125,4,0.75,False
KRW-A,False,10,,1,13.501543121683042,5,0.6,False
KRW-BLUR,False,10,,0,13.501543121683042,5,0.6,False
KRW-BONK,False,6,,0,13.501543121683042,5,0.6,False
KRW-MANA,False,8,,1,13.501543121683042,5,0.6,False
KRW-PENDLE,False,5,,0,13.501543121683042,5,0.6,False
KRW-ZRX,False,9,,2,13.501543121683042,5,0.6,False
KRW-GRT,False,11,,0,12.449330637963367,7,0.5714285714285714,False
KRW-MED,False,14,,1,12.449330637963367,7,0.5714285714285714,False
KRW-ATH,False,12,,0,12.449330637963364,7,0.5714285714285714,False
KRW-ZRO,False,11,,0,12.449330637963364,7,0.5714285714285714,False
KRW-AUCTION,False,4,,0,11.809410476003896,3,0.6666666666666666,False
KRW-ENS,False,8,,0,11.034116020360544,6,0.5,False
KRW-ALGO,False,11,,1,10.053854982045445,6,0.5,False
KRW-ARB,False,8,,2,10.053854982045445,4,0.5,False
KRW-BAT,False,12,,2,10.053854982045445,4,0.5,False
KRW-BLAST,False,8,,0,10.053854982045445,6,0.5,False
KRW-CBK,False,4,,0,10.053854982045445,4,0.5,False
