TP,SL,is_baseline,W1_sh,W1_n,W1_wr,W2_sh,W2_n,W2_wr,W2_avg,D_W2_sh,D_W2_n,D_W2_wr,pass
5%,0.8%,False,7.644117241404807,109,0.4036697247706422,12.139794796144365,679,0.5419734904270986,0.022003765181077058,14.113718652366254,76,0.5921052631578947,True
4%,0.8%,False,7.053835025145442,109,0.41284403669724773,12.087663121688443,690,0.5681159420289855,0.018071417606270027,14.614178688862399,76,0.631578947368421,True
5%,1.0%,True,8.240078474451323,108,0.4537037037037037,11.959913174228273,674,0.5623145400593472,0.02231234593501065,13.702964875413334,76,0.6052631578947368,True
4%,1.0%,False,8.11978631526331,108,0.48148148148148145,11.823420324412828,685,0.5897810218978102,0.018277943790250484,13.54463731518862,76,0.631578947368421,True
6%,0.8%,False,7.738817908168128,109,0.3944954128440367,11.775730143499821,673,0.512630014858841,0.02498573335516515,13.184261689738483,74,0.5540540540540541,True
3%,0.8%,False,6.008423024720491,109,0.42201834862385323,11.627465447592488,699,0.597997138769671,0.01363166273775049,13.37548300833922,78,0.6410256410256411,True
6%,1.0%,False,8.415130995389541,108,0.4444444444444444,11.586883803721358,668,0.531437125748503,0.02523719168179571,12.872790997917267,74,0.5675675675675675,True
7%,0.8%,False,7.6903649301904915,109,0.3853211009174312,11.505678557174999,672,0.4895833333333333,0.02793119499611797,13.63134002563935,74,0.5540540540540541,True
7%,1.0%,False,8.435806057358592,108,0.4351851851851852,11.426389370723603,667,0.5097451274362819,0.028445371671399912,13.402234485387295,74,0.5675675675675675,True
3%,1.0%,False,7.221885762260618,108,0.5,11.203198219330515,694,0.6195965417867435,0.013691131990897488,12.11273916172556,78,0.6410256410256411,True
5%,1.5%,False,8.56433812554656,108,0.5277777777777778,11.100578397355132,671,0.5946348733233979,0.022183035890440798,13.220646949989813,76,0.6447368421052632,True
6%,1.5%,False,8.95353538151812,108,0.5277777777777778,10.932345209971752,666,0.5645645645645646,0.025330946106155175,12.565270162848336,74,0.6081081081081081,True
7%,1.5%,False,8.768197442366427,108,0.5092592592592593,10.804960840327565,665,0.5398496240601504,0.028473727771554217,12.763812614468533,74,0.5945945945945946,True
4%,1.5%,False,8.252083922371458,108,0.5555555555555556,10.726410586769642,682,0.6217008797653959,0.01797720629523109,12.844180074610177,76,0.6710526315789473,True
3%,1.5%,False,6.754309775986166,108,0.5648148148148148,9.788825832335329,691,0.6512301013024602,0.013212222288976637,11.01895177016432,78,0.6794871794871795,True
