symbol,bb_period,bb_std,adx_ceil,rsi_floor,rsi_ceil,tp,sl,max_hold,bb_exit_mid,avg_oos,total_n,passed,F1_sharpe,F1_wr,F1_n,F1_mdd,F1_avg,F2_sharpe,F2_wr,F2_n,F2_mdd,F2_avg
KRW-BTC,20,2.0,15,20,40,0.015,0.008,12,True,-47.95853214183806,55,False,-27.006784343572143,0.43478260869565216,23,-0.05997955994686304,-0.002508635391312291,-68.91027994010398,0.3125,32,-0.1434561212317906,-0.004448551956464313
KRW-BTC,20,2.0,15,20,40,0.015,0.008,12,False,-28.507867136033937,55,False,-21.606210700925416,0.34782608695652173,23,-0.06545346623282877,-0.0022895980645914653,-35.40952357114246,0.28125,32,-0.11311565698194992,-0.003134832436340157
KRW-BTC,20,2.0,15,20,40,0.015,0.008,24,True,-44.45098601140328,55,False,-27.006784343572143,0.43478260869565216,23,-0.05997955994686304,-0.002508635391312291,-61.89518767923442,0.34375,32,-0.13911689117569495,-0.004288556029113349
KRW-BTC,20,2.0,15,20,40,0.015,0.008,24,False,-30.126007875649606,55,False,-18.062832402925153,0.34782608695652173,23,-0.06985258444251552,-0.0020239523147152017,-42.18918334837406,0.28125,32,-0.14553611247397377,-0.0038695931933206886
KRW-BTC,20,2.0,15,20,40,0.015,0.01,12,True,-54.855703343391525,55,False,-35.43163313639947,0.43478260869565216,23,-0.07503462302451776,-0.0036373745217470935,-74.27977355038358,0.3125,32,-0.17234470599538818,-0.005509458206464316
KRW-BTC,20,2.0,15,20,40,0.015,0.01,12,False,-36.71158384530152,55,False,-30.352907552660835,0.34782608695652173,23,-0.08042086099934373,-0.0035051632819827856,-43.070260137942206,0.28125,32,-0.14302753208125063,-0.004195738686340161
KRW-BTC,20,2.0,15,20,40,0.015,0.01,24,True,-52.15105728534795,55,False,-35.43163313639947,0.43478260869565216,23,-0.07503462302451776,-0.0036373745217470935,-68.87048143429644,0.34375,32,-0.17150267002975964,-0.005474274779113355
KRW-BTC,20,2.0,15,20,40,0.015,0.01,24,False,-38.69959298874181,55,False,-27.270559874565457,0.34782608695652173,23,-0.08659478741153899,-0.003326343619063042,-50.12862610291817,0.28125,32,-0.17660760183771904,-0.005014929817459398
KRW-BTC,20,2.0,15,20,40,0.015,0.015,12,True,-52.72050749975695,53,False,-42.36784137629867,0.45454545454545453,22,-0.09615459765561961,-0.0052683480673879545,-63.073173623215226,0.3870967741935484,31,-0.18171193136036604,-0.006036252014844286
KRW-BTC,20,2.0,15,20,40,0.015,0.015,12,False,-35.269775087074116,53,False,-38.976742791420804,0.36363636363636365,22,-0.09822376592532571,-0.005357059043997997,-31.562807382727428,0.3548387096774194,31,-0.13288233056939874,-0.003927642077356584
